timestamp,signal,confidence,buy_probability,sell_probability,no_trade_probability,trade_recommended
2025-07-17 02:05:22.690,SELL,1.0,1.9488028849867825e-19,1.0,9.299743160992094e-25,True
2025-07-17 02:05:27.952,SELL,1.0,1.625896001523545e-19,1.0,7.123590974811346e-25,True
2025-07-17 02:05:41.387,SELL,1.0,9.151223193766028e-20,1.0,2.6752371173014332e-25,True
2025-07-17 02:05:50.746,SELL,1.0,1.4209529574755826e-19,1.0,6.314740334252033e-25,True
2025-07-17 02:06:01.403,SELL,1.0,1.281253396501828e-19,1.0,5.730629756095332e-25,True
2025-07-17 02:06:06.061,SELL,1.0,1.4033969537029396e-19,1.0,6.758800491600322e-25,True
2025-07-17 02:06:17.797,SELL,1.0,1.9808214955350617e-19,1.0,1.2792135898551587e-24,True
2025-07-17 02:06:28.921,SELL,1.0,2.1675377440323889e-19,1.0,1.4277356865323526e-24,True
2025-07-17 02:06:37.284,SELL,1.0,1.4661650987940825e-19,1.0,7.675102369097854e-25,True
2025-07-17 02:06:53.458,SELL,1.0,1.5747727499995587e-19,1.0,8.450411137005235e-25,True
2025-07-17 02:07:09.440,SELL,1.0,1.7335392118335726e-19,1.0,1.035105315899948e-24,True
2025-07-17 02:07:43.059,SELL,1.0,2.1684640570714775e-19,1.0,1.3972715547021408e-24,True
2025-07-17 02:07:50.403,SELL,1.0,2.042569235792438e-19,1.0,1.2791404230061995e-24,True
2025-07-17 02:08:01.491,SELL,1.0,1.8201809526257324e-19,1.0,1.0746324734550177e-24,True
2025-07-17 02:08:11.860,SELL,1.0,1.2013830337522099e-19,1.0,5.400603386901267e-25,True
2025-07-17 02:08:21.574,SELL,1.0,1.595318494698698e-19,1.0,9.123837039889124e-25,True
2025-07-17 02:08:31.881,SELL,1.0,1.4765543580407779e-19,1.0,8.181456406941117e-25,True
2025-07-17 02:08:57.782,SELL,1.0,1.1414934771927514e-19,1.0,5.256114144386789e-25,True
2025-07-17 02:09:03.935,SELL,1.0,1.1926069059469637e-19,1.0,5.59630005596397e-25,True
2025-07-17 02:09:14.231,SELL,1.0,9.111373767756286e-20,1.0,3.4823722319109227e-25,True
2025-07-17 02:09:14.459,SELL,1.0,6.286995292997237e-20,1.0,2.026126619225817e-25,True
2025-07-17 02:09:27.174,SELL,1.0,5.155113977639778e-20,1.0,1.5967077202784303e-25,True
2025-07-17 02:09:44.847,SELL,1.0,3.9541766520660667e-20,1.0,1.0052730616548181e-25,True
2025-07-17 02:09:59.886,SELL,1.0,3.77861822992677e-20,1.0,9.461262431336097e-26,True
2025-07-17 02:10:20.008,SELL,1.0,4.476176086201044e-20,1.0,1.4236071090291686e-25,True
2025-07-17 02:10:39.765,SELL,1.0,3.615196098337275e-20,1.0,1.0115046930275147e-25,True
2025-07-17 02:10:56.173,SELL,1.0,3.148013858772702e-20,1.0,7.775826594666802e-26,True
2025-07-17 02:11:01.329,SELL,1.0,3.531557798650507e-20,1.0,9.407171841438806e-26,True
2025-07-17 02:11:20.160,SELL,1.0,2.8077201558214824e-20,1.0,6.730238303412598e-26,True
2025-07-17 02:11:28.979,SELL,1.0,3.546786646092006e-20,1.0,1.0163704240687729e-25,True
2025-07-17 02:11:58.421,SELL,1.0,4.252078964211077e-20,1.0,1.3378451096419348e-25,True
2025-07-17 02:12:09.602,SELL,1.0,4.732078625861101e-20,1.0,1.4946333099663904e-25,True
2025-07-17 02:12:23.468,SELL,1.0,3.419692606795221e-20,1.0,9.151125464233949e-26,True
2025-07-17 02:12:33.197,SELL,1.0,4.824839822975534e-20,1.0,1.6403192791259917e-25,True
2025-07-17 02:12:51.253,SELL,1.0,5.715209925744224e-20,1.0,2.0287716451891197e-25,True
2025-07-17 02:13:19.304,SELL,1.0,5.564064640785179e-20,1.0,1.8343742546892195e-25,True
2025-07-17 02:13:28.454,SELL,1.0,3.8350787997297696e-20,1.0,1.0320805889962493e-25,True
2025-07-17 02:13:47.014,SELL,1.0,3.811888015775021e-20,1.0,1.0397508438150846e-25,True
2025-07-17 02:13:49.136,SELL,1.0,5.323260732243629e-20,1.0,1.7135205174903276e-25,True
2025-07-17 02:14:01.530,SELL,1.0,6.523389941132967e-20,1.0,2.2524061929887736e-25,True
2025-07-17 02:14:03.443,SELL,1.0,5.399278307419825e-20,1.0,1.6878688562643198e-25,True
2025-07-17 02:14:11.363,SELL,1.0,3.7083188638522733e-20,1.0,9.077036017794141e-26,True
2025-07-17 02:14:22.456,SELL,1.0,3.2781025503808704e-20,1.0,7.246678420967177e-26,True
2025-07-17 02:14:45.719,SELL,1.0,4.666896470474496e-20,1.0,1.348656818126538e-25,True
2025-07-17 02:15:02.538,SELL,1.0,4.190022969928554e-20,1.0,1.1157196281020653e-25,True
2025-07-17 02:15:11.090,SELL,1.0,4.3960003128596346e-20,1.0,1.1816984751005535e-25,True
2025-07-17 02:15:24.342,SELL,1.0,3.60932602404499e-20,1.0,8.086906497069721e-26,True
2025-07-17 02:15:33.997,SELL,1.0,4.211688639628908e-20,1.0,1.0506675694076954e-25,True
2025-07-17 02:15:43.421,SELL,1.0,4.915742771768564e-20,1.0,1.405037076801233e-25,True
2025-07-17 02:15:58.027,SELL,1.0,8.274603029976472e-20,1.0,3.334165482380591e-25,True
2025-07-17 02:16:05.190,SELL,1.0,6.981244103703871e-20,1.0,2.2808788947675616e-25,True
2025-07-17 02:16:42.021,SELL,1.0,5.526411767042677e-20,1.0,1.6065504857042926e-25,True
2025-07-17 02:16:49.966,SELL,1.0,8.211556357663446e-20,1.0,3.3180261278168676e-25,True
2025-07-17 02:16:53.706,SELL,1.0,5.895730462206558e-20,1.0,1.7849496537867943e-25,True
2025-07-17 02:17:10.294,SELL,1.0,4.255941186813361e-20,1.0,1.0350218692073175e-25,True
2025-07-17 02:17:20.666,SELL,1.0,6.772806221567872e-20,1.0,2.445784597066258e-25,True
2025-07-17 02:17:35.261,SELL,1.0,7.132092766865134e-20,1.0,2.442726281944329e-25,True
2025-07-17 02:17:48.135,SELL,1.0,6.953814665344642e-20,1.0,2.263681233995678e-25,True
2025-07-17 02:18:05.835,SELL,1.0,8.510830949519985e-20,1.0,2.9689204180729336e-25,True
